title,score,id,url,comms_num,created,body,timestamp
"TIL that Cymru the Welsh name for Wales means friends or companions, but the English name Wales derives from the germanic word walh which means stranger or foreigner.",38,bfwg3j,https://www.youtube.com/watch?v=RaIIUGqr2QQ,5,1555897604,,4/21/2019 20:46
TIL Charles Darwin reportedly took Harriet the Tortoise from the Galapagos Ilands to England. It was then transported to Australia where it was more recently visited by Steve Irwin. The tortoise lived 175 years.,375,bfojzj,https://en.wikipedia.org/wiki/Harriet_(tortoise),7,1555851615,,4/21/2019 8:00
"TIL that Led Zeppelin had become so frustrated with reporters and interviewers that officials had put down strict rules for anyone who went backstage. One of those rules stated ""Do not make any sort of eye contact with John Bonham. This is for your own safety.""",5878,bfi5wd,https://uproxx.com/music/led-zeppelin-1977-north-american-tour/5/,146,1555800814,,4/20/2019 17:53
"TIL the Romans had a toilet pantheon, including the great sewer goddess Venus Cloacina - whom you prayed to when the toilet clogged - and Crepitus, whom you prayed to when you were constipated",382,bfoail,https://en.wikipedia.org/wiki/Toilet_god,47,1555849609,,4/21/2019 7:26
"TIL learned about Pink Floyd's lost album 'Household Object's'. There are only two known tracks (linked below). The album was created after Dark Side of the Moon. When asked about it, the band can be quoted in saying the album was too weird even for them.",64,bfua1l,https://youtu.be/Qu3Jm03hsaY,10,1555884410,,4/21/2019 17:06
"TIL the Ryugyong Hotel in North Korea is the world's shortest building with at least 100 floors. It is 330m tall (1082 feet) and has 105 floors. Meanwhile, Shanghai World Financial Center is 162m/530ft taller for only 101 floors.",15,bfz0m1,https://en.wikipedia.org/wiki/List_of_buildings_with_100_floors_or_more,3,1555916155,,4/22/2019 1:55
TIL that NASA has robot astronauts called Robonauts,14,bfz08s,https://robonaut.jsc.nasa.gov/R2/,3,1555916068,,4/22/2019 1:54
TIL in 1978 British explorer Tim Severin proved it was possible for a 6th century Irish boat clad in leather to make the journey across the Atlantic from Ireland to North America. This was done to test if St. Brendan the Navigators described journey across the Atlantic was possible at the time.,394,bfo2bn,https://en.wikipedia.org/wiki/Brendan#Possible_link_to_North_America,12,1555847775,,4/21/2019 6:56
"TIL of Harry Daghlian, a 24 year-old physicist with the Manhattan Project. He accidentally dropped a brick into the centre of a plutonium core and exposed himself to a lethal dose of radiation, dying 25 days after the accident.",4833,bfi4w4,https://en.wikipedia.org/wiki/Harry_Daghlian,446,1555800630,,4/20/2019 17:50
TIL of Denise Harvey. A Florida woman who had sex with a 16 year old on her sons baseball team. She got 30 years but fled to Canada which granted her asylum,54,bfuhvc,https://nationalpost.com/news/canada/florida-sex-offender-who-had-relations-with-16-year-old-granted-refugee-status-in-canada,55,1555885666,,4/21/2019 17:27
TIL that giraffes sleep using their own butts as pillows,4068,bfik1j,https://www.boredpanda.com/giraffes-shortest-sleeping-animal/?utm_source=google&utm_medium=organic&utm_campaign=organic,88,1555803322,,4/20/2019 18:35
